CarNumber,Score
0,"13,09015"
1,"13,33028"
2,"13,11131"
3,"8,549614"
4,"13,21003"
5,"13,37114"
6,"2,670131"
7,"0,5062866"
8,"0,5062866"
9,"13,01206"
10,"0,5324637"
11,"2,212394"
12,"3,350871"
13,"12,93195"
14,"0,5062866"
15,"0,5324637"
16,"3,350871"
17,"3,350871"
18,"6,248795"
19,"3,408654"
